Variable Year Study Average Intercept Slope
Heritability 2012 3 52.66 6153.612 -3.034
Heritability 2013 1 86.48 6153.612 -3.034
Heritability 2013 2 68.01 6153.612 -3.034
Heritability 2014 1 73.61 6153.612 -3.034
Heritability 2014 2 31.47 6153.612 -3.034
Heritability 2014 3 40.91 6153.612 -3.034
Heritability 2015 1 33.33 6153.612 -3.034
Heritability 2015 2 49.11 6153.612 -3.034
Heritability 2015 3 16.05 6153.612 -3.034
Heritability 2016 1 53.77 6153.612 -3.034
Heritability 2017 1 38.66 6153.612 -3.034
Heritability 2017 2 38.34 6153.612 -3.034
Heritability 2017 3 34.01 6153.612 -3.034
Coefficient_of_variation 2004 1 9.565 -72.45 0.044
Coefficient_of_variation 2004 2 24.135 -72.45 0.044
Coefficient_of_variation 2004 3 14.2 -72.45 0.044
Coefficient_of_variation 2005 1 28.69 -72.45 0.044
Coefficient_of_variation 2005 2 29.565 -72.45 0.044
Coefficient_of_variation 2005 3 11.1 -72.45 0.044
Coefficient_of_variation 2006 1 11.69 -72.45 0.044
Coefficient_of_variation 2006 2 14.665 -72.45 0.044
Coefficient_of_variation 2006 3 16.05 -72.45 0.044
Coefficient_of_variation 2007 1 16.425 -72.45 0.044
Coefficient_of_variation 2007 2 19.03 -72.45 0.044
Coefficient_of_variation 2007 3 10.08 -72.45 0.044
Coefficient_of_variation 2008 1 18.93 -72.45 0.044
Coefficient_of_variation 2008 2 18.74 -72.45 0.044
Coefficient_of_variation 2008 3 26.6 -72.45 0.044
Coefficient_of_variation 2009 1 16.19 -72.45 0.044
Coefficient_of_variation 2009 2 35.66 -72.45 0.044
Coefficient_of_variation 2009 3 18.16 -72.45 0.044
Coefficient_of_variation 2010 1 14.08 -72.45 0.044
Coefficient_of_variation 2010 2 29.32 -72.45 0.044
Coefficient_of_variation 2010 3 15.41 -72.45 0.044
Coefficient_of_variation 2011 1 9.63 -72.45 0.044
Coefficient_of_variation 2011 2 14.29 -72.45 0.044
Coefficient_of_variation 2012 1 16.51 -72.45 0.044
Coefficient_of_variation 2012 2 12.71 -72.45 0.044
Coefficient_of_variation 2012 3 14.05 -72.45 0.044
Coefficient_of_variation 2013 1 38.035 -72.45 0.044
Coefficient_of_variation 2013 2 25.975 -72.45 0.044
Coefficient_of_variation 2013 3 15.84 -72.45 0.044
Coefficient_of_variation 2014 1 16.155 -72.45 0.044
Coefficient_of_variation 2014 2 27.2 -72.45 0.044
Coefficient_of_variation 2014 3 14.77 -72.45 0.044
Coefficient_of_variation 2015 1 14.43 -72.45 0.044
Coefficient_of_variation 2015 2 18.02 -72.45 0.044
Coefficient_of_variation 2015 3 14.3 -72.45 0.044
Coefficient_of_variation 2016 1 14.12 -72.45 0.044
Coefficient_of_variation 2016 3 18.04 -72.45 0.044
Coefficient_of_variation 2017 1 13.1 -72.45 0.044
Coefficient_of_variation 2017 2 14.94 -72.45 0.044
Coefficient_of_variation 2017 3 17.41 -72.45 0.044
